"student_name","student_id","student_email","programme","year","address","contact","module_id","module_name","module_leader","lecturer1","lecturer2","faculty","building","room","exam_mark","coursework1","coursework2","coursework3"
"Amber Evans","440600","AE1Y24@UoNEHT.ac.uk","Fine Art","4","241 Troy Brook Apt. 844 South Barbara, NM 96521","590-220-3822x09600","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","45","12","",""
"Amber Evans","440600","AE1Y24@UoNEHT.ac.uk","Fine Art","4","241 Troy Brook Apt. 844 South Barbara, NM 96521","590-220-3822x09600","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","77","1","",""
"Courtney Joyce","482634","CJ1Y24@UoNEHT.ac.uk","Fine Art","4","557 Johnson Grove Apt. 374 Annetteshire, IA 62672","354-917-7411x414","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","27","24","22"
"Courtney Joyce","482634","CJ1Y24@UoNEHT.ac.uk","Fine Art","4","557 Johnson Grove Apt. 374 Annetteshire, IA 62672","354-917-7411x414","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","24","12","",""
"Courtney Joyce","482634","CJ1Y24@UoNEHT.ac.uk","Fine Art","4","557 Johnson Grove Apt. 374 Annetteshire, IA 62672","354-917-7411x414","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","23","10","",""
"Michael Owens","563960","MO1Y24@UoNEHT.ac.uk","Fine Art","4","517 Allison Skyway Suite 000 West Lynnland, RI 57262","628-466-3469x6293","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","16","21","8"
"Michael Owens","563960","MO1Y24@UoNEHT.ac.uk","Fine Art","4","517 Allison Skyway Suite 000 West Lynnland, RI 57262","628-466-3469x6293","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","56","20","",""
"Michael Owens","563960","MO1Y24@UoNEHT.ac.uk","Fine Art","4","517 Allison Skyway Suite 000 West Lynnland, RI 57262","628-466-3469x6293","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","34","15","",""
"Chelsea Sawyer","580582","CS1Y24@UoNEHT.ac.uk","Fine Art","4","95417 Smith Dale Suite 280 South Kelly, CA 21660","771-518-9252","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","25","18","16"
"Chelsea Sawyer","580582","CS1Y24@UoNEHT.ac.uk","Fine Art","4","95417 Smith Dale Suite 280 South Kelly, CA 21660","771-518-9252","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","38","30","",""
"Chelsea Sawyer","580582","CS1Y24@UoNEHT.ac.uk","Fine Art","4","95417 Smith Dale Suite 280 South Kelly, CA 21660","771-518-9252","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","45","2","",""
"Roy Olson","588080","RO1Y24@UoNEHT.ac.uk","Fine Art","4","72561 Oneal Circles Apt. 678 New Blakechester, NH 06069","(720)683-6384","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","18","13","29"
"Roy Olson","588080","RO1Y24@UoNEHT.ac.uk","Fine Art","4","72561 Oneal Circles Apt. 678 New Blakechester, NH 06069","(720)683-6384","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","21","37","",""
"Roy Olson","588080","RO1Y24@UoNEHT.ac.uk","Fine Art","4","72561 Oneal Circles Apt. 678 New Blakechester, NH 06069","(720)683-6384","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","4","12","",""
"Robert Beasley","602347","RB1Y24@UoNEHT.ac.uk","Fine Art","4","184 Brian Islands East James, ND 88922","920.907.4823","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","10","2","14"
"Robert Beasley","602347","RB1Y24@UoNEHT.ac.uk","Fine Art","4","184 Brian Islands East James, ND 88922","920.907.4823","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","7","10","",""
"Robert Beasley","602347","RB1Y24@UoNEHT.ac.uk","Fine Art","4","184 Brian Islands East James, ND 88922","920.907.4823","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","14","6","",""
"Melissa Buchanan","638452","MB1Y24@UoNEHT.ac.uk","Fine Art","4","8576 Duke Lock Suite 731 Levyfort, WI 50497","(566)755-7646","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","4","12","19"
"Melissa Buchanan","638452","MB1Y24@UoNEHT.ac.uk","Fine Art","4","8576 Duke Lock Suite 731 Levyfort, WI 50497","(566)755-7646","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","8","36","",""
"Melissa Buchanan","638452","MB1Y24@UoNEHT.ac.uk","Fine Art","4","8576 Duke Lock Suite 731 Levyfort, WI 50497","(566)755-7646","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","54","2","",""
"Megan Marks","728633","MM1Y24@UoNEHT.ac.uk","Fine Art","4","53334 Rhonda Station North Derek, HI 24132","","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","10","27","30"
"Megan Marks","728633","MM1Y24@UoNEHT.ac.uk","Fine Art","4","53334 Rhonda Station North Derek, HI 24132","","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","55","24","",""
"Megan Marks","728633","MM1Y24@UoNEHT.ac.uk","Fine Art","4","53334 Rhonda Station North Derek, HI 24132","","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","79","17","",""
"Nicole Raymond","785844","NR1Y24@UoNEHT.ac.uk","Fine Art","4","9688 Richard Crescent Port Rachel, MN 44345","","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","21","6","9"
"Nicole Raymond","785844","NR1Y24@UoNEHT.ac.uk","Fine Art","4","9688 Richard Crescent Port Rachel, MN 44345","","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","55","20","",""
"Nicole Raymond","785844","NR1Y24@UoNEHT.ac.uk","Fine Art","4","9688 Richard Crescent Port Rachel, MN 44345","","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","38","8","",""
"Anthony Giles","862297","AG1Y24@UoNEHT.ac.uk","Fine Art","4","9591 Hunter Island Apt. 978 West Deborah, UT 64553","","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","29","7","4"
"Anthony Giles","862297","AG1Y24@UoNEHT.ac.uk","Fine Art","4","9591 Hunter Island Apt. 978 West Deborah, UT 64553","","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","5","32","",""
"Anthony Giles","862297","AG1Y24@UoNEHT.ac.uk","Fine Art","4","9591 Hunter Island Apt. 978 West Deborah, UT 64553","","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","63","4","",""
"Julie Collins","918171","JC1Y24@UoNEHT.ac.uk","Fine Art","4","8750 Victoria Islands Apt. 826 West Robert, VA 36718","866.666.5877x19074","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","13","28","7"
"Julie Collins","918171","JC1Y24@UoNEHT.ac.uk","Fine Art","4","8750 Victoria Islands Apt. 826 West Robert, VA 36718","866.666.5877x19074","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","13","24","",""
"Julie Collins","918171","JC1Y24@UoNEHT.ac.uk","Fine Art","4","8750 Victoria Islands Apt. 826 West Robert, VA 36718","866.666.5877x19074","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","38","3","",""
"Heidi Wilson","942930","HW1Y24@UoNEHT.ac.uk","Fine Art","4","93667 John Mount Robertfurt, NM 40408","","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","15","6","6"
"Heidi Wilson","942930","HW1Y24@UoNEHT.ac.uk","Fine Art","4","93667 John Mount Robertfurt, NM 40408","","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","37","10","",""
"Heidi Wilson","942930","HW1Y24@UoNEHT.ac.uk","Fine Art","4","93667 John Mount Robertfurt, NM 40408","","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","56","10","",""
"Melissa Norris","944895","MN1Y24@UoNEHT.ac.uk","Fine Art","4","66989 Prince Ferry Suite 715 Deborahmouth, MT 79515","(271)339-6047x66742","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","30","12","2"
"Melissa Norris","944895","MN1Y24@UoNEHT.ac.uk","Fine Art","4","66989 Prince Ferry Suite 715 Deborahmouth, MT 79515","(271)339-6047x66742","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","12","1","",""
"Melissa Norris","944895","MN1Y24@UoNEHT.ac.uk","Fine Art","4","66989 Prince Ferry Suite 715 Deborahmouth, MT 79515","(271)339-6047x66742","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","45","9","",""
"Ashley Pennington","990909","AP1Y24@UoNEHT.ac.uk","Fine Art","4","4743 Phillip Common North Nicole, NH 59194","001-894-445-4690x68353","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","6","19","21"
"Ashley Pennington","990909","AP1Y24@UoNEHT.ac.uk","Fine Art","4","4743 Phillip Common North Nicole, NH 59194","001-894-445-4690x68353","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","44","9","",""
"Ashley Pennington","990909","AP1Y24@UoNEHT.ac.uk","Fine Art","4","4743 Phillip Common North Nicole, NH 59194","001-894-445-4690x68353","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","1","15","",""
"John Smith","1086220","JS1Y24@UoNEHT.ac.uk","Fine Art","4","63140 Burns Tunnel Woodardbury, NE 36897","998.802.9688x63582","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","33","21","30"
"John Smith","1086220","JS1Y24@UoNEHT.ac.uk","Fine Art","4","63140 Burns Tunnel Woodardbury, NE 36897","998.802.9688x63582","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","44","23","",""
"John Smith","1086220","JS1Y24@UoNEHT.ac.uk","Fine Art","4","63140 Burns Tunnel Woodardbury, NE 36897","998.802.9688x63582","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","12","7","",""
"Kevin Anderson","1158919","KA1Y24@UoNEHT.ac.uk","Fine Art","4","65932 Paul Junctions Apt. 637 East Margaret, RI 96417","","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","25","16","7"
"Kevin Anderson","1158919","KA1Y24@UoNEHT.ac.uk","Fine Art","4","65932 Paul Junctions Apt. 637 East Margaret, RI 96417","","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","49","23","",""
"Kevin Anderson","1158919","KA1Y24@UoNEHT.ac.uk","Fine Art","4","65932 Paul Junctions Apt. 637 East Margaret, RI 96417","","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","35","12","",""
"Aaron Brown","1204324","AB1Y24@UoNEHT.ac.uk","Fine Art","4","USNV Keller FPO AA 31057","741.651.8380x514","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","30","24","28"
"Aaron Brown","1204324","AB1Y24@UoNEHT.ac.uk","Fine Art","4","USNV Keller FPO AA 31057","741.651.8380x514","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","2","39","",""
"Aaron Brown","1204324","AB1Y24@UoNEHT.ac.uk","Fine Art","4","USNV Keller FPO AA 31057","741.651.8380x514","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","12","13","",""
"Pam Jennings","1272208","PJ1Y24@UoNEHT.ac.uk","Fine Art","4","975 Melissa Station Jenningston, MI 54552","","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","23","24","26"
"Pam Jennings","1272208","PJ1Y24@UoNEHT.ac.uk","Fine Art","4","975 Melissa Station Jenningston, MI 54552","","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","46","7","",""
"Pam Jennings","1272208","PJ1Y24@UoNEHT.ac.uk","Fine Art","4","975 Melissa Station Jenningston, MI 54552","","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","64","18","",""
"Judy Bridges","1366434","JB1Y24@UoNEHT.ac.uk","Fine Art","4","4054 Michael Locks Tranton, SC 62429","7792839550","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","3","27","20"
"Judy Bridges","1366434","JB1Y24@UoNEHT.ac.uk","Fine Art","4","4054 Michael Locks Tranton, SC 62429","7792839550","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","31","12","",""
"Judy Bridges","1366434","JB1Y24@UoNEHT.ac.uk","Fine Art","4","4054 Michael Locks Tranton, SC 62429","7792839550","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","4","19","",""
"Kendra Blair","1415795","KB1Y24@UoNEHT.ac.uk","Fine Art","4","36540 Brian Wall Apt. 197 Lake Kevinmouth, LA 09541","285-799-9678","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","17","32","16"
"Kendra Blair","1415795","KB1Y24@UoNEHT.ac.uk","Fine Art","4","36540 Brian Wall Apt. 197 Lake Kevinmouth, LA 09541","285-799-9678","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","17","2","",""
"Kendra Blair","1415795","KB1Y24@UoNEHT.ac.uk","Fine Art","4","36540 Brian Wall Apt. 197 Lake Kevinmouth, LA 09541","285-799-9678","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","22","2","",""
"Richard Lee","1466747","RL1Y24@UoNEHT.ac.uk","Fine Art","4","USNV Castillo FPO AP 79177","990-580-7180x4941","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","27","26","6"
"Richard Lee","1466747","RL1Y24@UoNEHT.ac.uk","Fine Art","4","USNV Castillo FPO AP 79177","990-580-7180x4941","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","10","30","",""
"Richard Lee","1466747","RL1Y24@UoNEHT.ac.uk","Fine Art","4","USNV Castillo FPO AP 79177","990-580-7180x4941","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","76","17","",""
"Aaron Franco","1503409","AF1Y24@UoNEHT.ac.uk","Fine Art","4","654 Diaz Fields Apt. 414 Schultzfort, HI 84559","(507)533-7024","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","20","11","4"
"Aaron Franco","1503409","AF1Y24@UoNEHT.ac.uk","Fine Art","4","654 Diaz Fields Apt. 414 Schultzfort, HI 84559","(507)533-7024","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","57","34","",""
"Aaron Franco","1503409","AF1Y24@UoNEHT.ac.uk","Fine Art","4","654 Diaz Fields Apt. 414 Schultzfort, HI 84559","(507)533-7024","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","69","7","",""
"Tyler Smith","1507133","TS1Y24@UoNEHT.ac.uk","Fine Art","4","273 John Lodge Apt. 797 North Melanie, KS 96112","","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","8","6","24"
"Tyler Smith","1507133","TS1Y24@UoNEHT.ac.uk","Fine Art","4","273 John Lodge Apt. 797 North Melanie, KS 96112","","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","17","25","",""
"Tyler Smith","1507133","TS1Y24@UoNEHT.ac.uk","Fine Art","4","273 John Lodge Apt. 797 North Melanie, KS 96112","","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","76","8","",""
"Eric Harrington","1563525","EH1Y24@UoNEHT.ac.uk","Fine Art","4","50336 Leroy Vista Suite 834 Mccoyfurt, ME 01730","+1-661-963-3774","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","25","5","7"
"Eric Harrington","1563525","EH1Y24@UoNEHT.ac.uk","Fine Art","4","50336 Leroy Vista Suite 834 Mccoyfurt, ME 01730","+1-661-963-3774","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","50","10","",""
"Eric Harrington","1563525","EH1Y24@UoNEHT.ac.uk","Fine Art","4","50336 Leroy Vista Suite 834 Mccoyfurt, ME 01730","+1-661-963-3774","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","75","18","",""
"Debra Reeves","1569294","DR1Y24@UoNEHT.ac.uk","Fine Art","4","483 Peter Well Suite 504 Allenbury, IL 50533","556.945.7858","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","26","18","25"
"Debra Reeves","1569294","DR1Y24@UoNEHT.ac.uk","Fine Art","4","483 Peter Well Suite 504 Allenbury, IL 50533","556.945.7858","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","39","27","",""
"Debra Reeves","1569294","DR1Y24@UoNEHT.ac.uk","Fine Art","4","483 Peter Well Suite 504 Allenbury, IL 50533","556.945.7858","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","77","16","",""
"Kelly Campbell","1654724","KC1Y24@UoNEHT.ac.uk","Fine Art","4","461 Torres Estate Allisonton, AK 46184","001-573-729-5946x5969","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","5","7","18"
"Kelly Campbell","1654724","KC1Y24@UoNEHT.ac.uk","Fine Art","4","461 Torres Estate Allisonton, AK 46184","001-573-729-5946x5969","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","45","34","",""
"Kelly Campbell","1654724","KC1Y24@UoNEHT.ac.uk","Fine Art","4","461 Torres Estate Allisonton, AK 46184","001-573-729-5946x5969","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","20","11","",""
"Anthony Williams","1673724","AW1Y24@UoNEHT.ac.uk","Fine Art","4","955 Norman Parkways New Megan, ME 69260","(686)356-6285x3400","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","31","10","16"
"Anthony Williams","1673724","AW1Y24@UoNEHT.ac.uk","Fine Art","4","955 Norman Parkways New Megan, ME 69260","(686)356-6285x3400","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","51","17","",""
"Anthony Williams","1673724","AW1Y24@UoNEHT.ac.uk","Fine Art","4","955 Norman Parkways New Megan, ME 69260","(686)356-6285x3400","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","36","1","",""
"Timothy Flores","1723881","TF1Y24@UoNEHT.ac.uk","Fine Art","4","0152 Kevin Hollow Apt. 187 Joshuamouth, NY 67843","939-720-2266x299","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","24","6","7"
"Timothy Flores","1723881","TF1Y24@UoNEHT.ac.uk","Fine Art","4","0152 Kevin Hollow Apt. 187 Joshuamouth, NY 67843","939-720-2266x299","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","50","6","",""
"Timothy Flores","1723881","TF1Y24@UoNEHT.ac.uk","Fine Art","4","0152 Kevin Hollow Apt. 187 Joshuamouth, NY 67843","939-720-2266x299","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","63","2","",""
"Jasmine Brown","1821820","JB2Y24@UoNEHT.ac.uk","Fine Art","4","356 Nguyen Wall Apt. 054 Robinsonton, ID 62178","(892)241-1017","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","1","0","12"
"Jasmine Brown","1821820","JB2Y24@UoNEHT.ac.uk","Fine Art","4","356 Nguyen Wall Apt. 054 Robinsonton, ID 62178","(892)241-1017","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","48","2","",""
"Jasmine Brown","1821820","JB2Y24@UoNEHT.ac.uk","Fine Art","4","356 Nguyen Wall Apt. 054 Robinsonton, ID 62178","(892)241-1017","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","9","20","",""
"Troy Erickson","1895450","TE1Y24@UoNEHT.ac.uk","Fine Art","4","42897 Molina Ramp Jenkinsberg, KS 91935","","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","26","15","19"
"Troy Erickson","1895450","TE1Y24@UoNEHT.ac.uk","Fine Art","4","42897 Molina Ramp Jenkinsberg, KS 91935","","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","4","23","",""
"Troy Erickson","1895450","TE1Y24@UoNEHT.ac.uk","Fine Art","4","42897 Molina Ramp Jenkinsberg, KS 91935","","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","7","8","",""
"David Young","1924754","DY1Y24@UoNEHT.ac.uk","Fine Art","4","USNS Bennett FPO AE 13043","(731)333-4681","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","26","28","13"
"David Young","1924754","DY1Y24@UoNEHT.ac.uk","Fine Art","4","USNS Bennett FPO AE 13043","(731)333-4681","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","17","0","",""
"David Young","1924754","DY1Y24@UoNEHT.ac.uk","Fine Art","4","USNS Bennett FPO AE 13043","(731)333-4681","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","66","2","",""
"Melissa Cook","1987440","MC1Y24@UoNEHT.ac.uk","Fine Art","4","575 Erika Mall Apt. 448 West Kyleton, NY 17932","","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","31","1","6"
"Melissa Cook","1987440","MC1Y24@UoNEHT.ac.uk","Fine Art","4","575 Erika Mall Apt. 448 West Kyleton, NY 17932","","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","34","22","",""
"Melissa Cook","1987440","MC1Y24@UoNEHT.ac.uk","Fine Art","4","575 Erika Mall Apt. 448 West Kyleton, NY 17932","","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","67","13","",""
"Barry Tran","2073684","BT1Y24@UoNEHT.ac.uk","Fine Art","4","81060 Erin Forks East Douglas, AK 50962","","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","2","4","21"
"Barry Tran","2073684","BT1Y24@UoNEHT.ac.uk","Fine Art","4","81060 Erin Forks East Douglas, AK 50962","","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","8","31","",""
"Barry Tran","2073684","BT1Y24@UoNEHT.ac.uk","Fine Art","4","81060 Erin Forks East Douglas, AK 50962","","FINE4403","Expert Portraits","Jared Kent","","","Faculty of Art","B100","R1001","45","13","",""
"Kelly Bolton","2106060","KB2Y24@UoNEHT.ac.uk","Fine Art","4","33927 Cameron Rest Suite 977 Scottmouth, FM 20437","594.301.9585x9685","FINE4401","Theoretical Sketching","Maria Tyler","","","Faculty of Art","B81","R1002","","3","3","27"
"Kelly Bolton","2106060","KB2Y24@UoNEHT.ac.uk","Fine Art","4","33927 Cameron Rest Suite 977 Scottmouth, FM 20437","594.301.9585x9685","FINE4402","Theoretical Landscapes","Shelley Curtis","Joy Coleman","Tamara Hall","Faculty of Art","B73","R3057","33","39","",""
